"Module","thetao","so","chl","o2","no3","po4","si","Longitude.x","Latitude.x"
"1",21.431935459179,36.4528144792348,0.0766993882116502,229.213905496544,0.00918350267918691,0.0139027546121752,1.24533927838206,-32.7665747630826,35.0792962416325
"2",23.8540355206741,36.543727827498,0.087893223894217,219.768025387699,0.0248811780070157,0.00587094174797109,1.69570002417086,-57.213369420483,32.7037243894199
"3",24.6494615132897,36.5555784113833,0.0913467723743188,216.938386857463,0.0305831030844707,0.00292843390003551,1.9514798023844,-60.5367157788235,31.9653335994168
"4",22.7854471529922,36.5144438361552,0.0870844769948824,223.824190044017,0.0183265144108702,0.0086095590545646,1.50208323564496,-42.9408372968623,33.7943259896354
"5",21.3865569509705,36.5726493284752,0.0736751020586615,228.964166313073,0.0032138563209717,0.0148784635104597,0.98429904161725,-41.3640766539985,34.5909185349188
"6",26.6683258884729,36.6564799423738,0.0958089208439357,210.019525847937,0.0464633159592411,0.000144149051315364,2.77475190584329,-76.9537511162648,29.4462651302239
"7",23.4903329200649,36.6292291655237,0.110138629782,220.889886563739,0.0104854183044826,0.00302988469558136,0.89872634755809,-55.7547006525244,32.522831436676
"8",24.704378842504,36.6855191370486,0.0938893767435039,216.970861706865,0.0337781912624328,5.5835273228551e-05,1.16610023710122,-69.1872978969347,31.7604574341996
"9",21.0017364307503,36.2966836564407,0.0652446020828074,232.475718612589,0.00740002977896576,0.022278010480972,1.25506527530018,-35.8284146761284,35.9297936540214
"10",21.2282296159257,36.3599219058125,0.0690503155318198,232.499992495196,0.0057197227004168,0.0224637307527389,1.17803798895276,-36.1719457119935,35.6087253892755
"11",20.1313095123465,36.1984142863114,0.0580065413001445,235.590928731027,0.00762117002192566,0.0258693630544562,1.11623908081292,-31.4635097351894,36.9671938694274
"12",26.107748192834,36.5754735115374,0.0946171830237527,211.659644073699,0.08081152331603,7.39140824295218e-05,2.7874390684461,-75.3463297570867,30.7002063191687
"Others",20.3090777516818,36.3286111275021,0.070680752977838,233.596065909082,0.00653608882187288,0.0170981404072602,1.13026205063185,-22.1818086023533,36.6346650337211
